Name,Kauffman,Kauffman (vector),Symmetry Type
8_7,(-1-4*a^2-2*a^4)*z^(0)+ (a^(-1)+ 2*a+ 2*a^3-a^7)*z^(1)+ (6+ 12*a^2+ 4*a^4-2*a^6)*z^(2)+ (-3*a^(-1)-3*a-2*a^3-a^5+ a^7)*z^(3)+ (-7-12*a^2-3*a^4+ 2*a^6)*z^(4)+ (a^(-1)-a+ 2*a^5)*z^(5)+ (2+ 4*a^2+ 2*a^4)*z^(6)+ (a+ a^3)*z^(7),[0; 7; [0; 4; -1; 0; -4; 0; -2]; [-1; 7; 1; 0; 2; 0; 2; 0; 0; 0; -1]; [0; 6; 6; 0; 12; 0; 4; 0; -2]; [-1; 7; -3; 0; -3; 0; -2; 0; -1; 0; 1]; [0; 6; -7; 0; -12; 0; -3; 0; 2]; [-1; 5; 1; 0; -1; 0; 0; 0; 2]; [0; 4; 2; 0; 4; 0; 2]; [1; 3; 1; 0; 1]],reversible
8_8,(a^(-2)+ 2-a^2-a^4)*z^(0)+ (-a^(-3)-a^(-1)+ a+ 3*a^3+ 2*a^5)*z^(1)+ (-2*a^(-2)-1+ 5*a^2+ 4*a^4)*z^(2)+ (a^(-3)-3*a-5*a^3-3*a^5)*z^(3)+ (2*a^(-2)-1-9*a^2-6*a^4)*z^(4)+ (2*a^(-1)+ a+ a^5)*z^(5)+ (2+ 4*a^2+ 2*a^4)*z^(6)+ (a+ a^3)*z^(7),[0; 7; [-2; 4; 1; 0; 2; 0; -1; 0; -1]; [-3; 5; -1; 0; -1; 0; 1; 0; 3; 0; 2]; [-2; 4; -2; 0; -1; 0; 5; 0; 4]; [-3; 5; 1; 0; 0; 0; -3; 0; -5; 0; -3]; [-2; 4; 2; 0; -1; 0; -9; 0; -6]; [-1; 5; 2; 0; 1; 0; 0; 0; 1]; [0; 4; 2; 0; 4; 0; 2]; [1; 3; 1; 0; 1]],reversible
8_9,(-2*a^(-2)-3-2*a^2)*z^(0)+ (a^(-3)+ a^(-1)+ a+ a^3)*z^(1)+ (-2*a^(-4)+ 4*a^(-2)+ 12+ 4*a^2-2*a^4)*z^(2)+ (-4*a^(-3)-a^(-1)-a-4*a^3)*z^(3)+ (a^(-4)-4*a^(-2)-10-4*a^2+ a^4)*z^(4)+ (2*a^(-3)+ 2*a^3)*z^(5)+ (2*a^(-2)+ 4+ 2*a^2)*z^(6)+ (a^(-1)+ a)*z^(7),[0; 7; [-2; 2; -2; 0; -3; 0; -2]; [-3; 3; 1; 0; 1; 0; 1; 0; 1]; [-4; 4; -2; 0; 4; 0; 12; 0; 4; 0; -2]; [-3; 3; -4; 0; -1; 0; -1; 0; -4]; [-4; 4; 1; 0; -4; 0; -10; 0; -4; 0; 1]; [-3; 3; 2; 0; 0; 0; 0; 0; 2]; [-2; 2; 2; 0; 4; 0; 2]; [-1; 1; 1; 0; 1]],fully amphicheiral
8_10,(-2-6*a^2-3*a^4)*z^(0)+ (2*a^(-1)+ 5*a+ 6*a^3+ 2*a^5-a^7)*z^(1)+ (5+ 12*a^2+ 6*a^4-a^6)*z^(2)+ (-3*a^(-1)-8*a-9*a^3-3*a^5+ a^7)*z^(3)+ (-6-13*a^2-5*a^4+ 2*a^6)*z^(4)+ (a^(-1)+ a+ 3*a^3+ 3*a^5)*z^(5)+ (2+ 5*a^2+ 3*a^4)*z^(6)+ (a+ a^3)*z^(7),[0; 7; [0; 4; -2; 0; -6; 0; -3]; [-1; 7; 2; 0; 5; 0; 6; 0; 2; 0; -1]; [0; 6; 5; 0; 12; 0; 6; 0; -1]; [-1; 7; -3; 0; -8; 0; -9; 0; -3; 0; 1]; [0; 6; -6; 0; -13; 0; -5; 0; 2]; [-1; 5; 1; 0; 1; 0; 3; 0; 3]; [0; 4; 2; 0; 5; 0; 3]; [1; 3; 1; 0; 1]],reversible
8_11,(-a^(-6)-2*a^(-4)-a^(-2)+ 1)*z^(0)+ (2*a^(-7)+ 3*a^(-5)+ a^(-3))*z^(1)+ (-2*a^(-8)+ 2*a^(-6)+ 6*a^(-4)-2)*z^(2)+ (-4*a^(-7)-3*a^(-5)-2*a^(-3)-3*a^(-1))*z^(3)+ (a^(-8)-3*a^(-6)-7*a^(-4)-2*a^(-2)+ 1)*z^(4)+ (2*a^(-7)+ a^(-5)+ a^(-3)+ 2*a^(-1))*z^(5)+ (2*a^(-6)+ 4*a^(-4)+ 2*a^(-2))*z^(6)+ (a^(-5)+ a^(-3))*z^(7),[0; 7; [-6; 0; -1; 0; -2; 0; -1; 0; 1]; [-7; -3; 2; 0; 3; 0; 1]; [-8; 0; -2; 0; 2; 0; 6; 0; 0; 0; -2]; [-7; -1; -4; 0; -3; 0; -2; 0; -3]; [-8; 0; 1; 0; -3; 0; -7; 0; -2; 0; 1]; [-7; -1; 2; 0; 1; 0; 1; 0; 2]; [-6; -2; 2; 0; 4; 0; 2]; [-5; -3; 1; 0; 1]],reversible
8_12,(a^(-4)+ a^(-2)+ 1+ a^2+ a^4)*z^(0)+ (a^(-3)+ a^3)*z^(1)+ (-2*a^(-4)-2*a^(-2)-2*a^2-2*a^4)*z^(2)+ (-3*a^(-3)-3*a^(-1)-3*a-3*a^3)*z^(3)+ (a^(-4)-a^(-2)-4-a^2+ a^4)*z^(4)+ (2*a^(-3)+ 2*a^(-1)+ 2*a+ 2*a^3)*z^(5)+ (2*a^(-2)+ 4+ 2*a^2)*z^(6)+ (a^(-1)+ a)*z^(7),[0; 7; [-4; 4; 1; 0; 1; 0; 1; 0; 1; 0; 1]; [-3; 3; 1; 0; 0; 0; 0; 0; 1]; [-4; 4; -2; 0; -2; 0; 0; 0; -2; 0; -2]; [-3; 3; -3; 0; -3; 0; -3; 0; -3]; [-4; 4; 1; 0; -1; 0; -4; 0; -1; 0; 1]; [-3; 3; 2; 0; 2; 0; 2; 0; 2]; [-2; 2; 2; 0; 4; 0; 2]; [-1; 1; 1; 0; 1]],fully amphicheiral
8_13,(-2*a^2-a^4)*z^(0)+ (a^(-1)+ 3*a+ 4*a^3+ 2*a^5)*z^(1)+ (-2*a^(-2)+ 7*a^2+ 5*a^4)*z^(2)+ (a^(-3)-4*a^(-1)-9*a-7*a^3-3*a^5)*z^(3)+ (3*a^(-2)-2-11*a^2-6*a^4)*z^(4)+ (4*a^(-1)+ 4*a+ a^3+ a^5)*z^(5)+ (3+ 5*a^2+ 2*a^4)*z^(6)+ (a+ a^3)*z^(7),[0; 7; [2; 4; -2; 0; -1]; [-1; 5; 1; 0; 3; 0; 4; 0; 2]; [-2; 4; -2; 0; 0; 0; 7; 0; 5]; [-3; 5; 1; 0; -4; 0; -9; 0; -7; 0; -3]; [-2; 4; 3; 0; -2; 0; -11; 0; -6]; [-1; 5; 4; 0; 4; 0; 1; 0; 1]; [0; 4; 3; 0; 5; 0; 2]; [1; 3; 1; 0; 1]],reversible
8_14,(1)*z^(0)+ (a^(-7)+ 3*a^(-5)+ 3*a^(-3)+ a^(-1))*z^(1)+ (-a^(-8)+ a^(-6)+ 3*a^(-4)-a^(-2)-2)*z^(2)+ (-5*a^(-7)-8*a^(-5)-6*a^(-3)-3*a^(-1))*z^(3)+ (a^(-8)-4*a^(-6)-7*a^(-4)-a^(-2)+ 1)*z^(4)+ (3*a^(-7)+ 4*a^(-5)+ 3*a^(-3)+ 2*a^(-1))*z^(5)+ (3*a^(-6)+ 5*a^(-4)+ 2*a^(-2))*z^(6)+ (a^(-5)+ a^(-3))*z^(7),[0; 7; [0; 0; 1]; [-7; -1; 1; 0; 3; 0; 3; 0; 1]; [-8; 0; -1; 0; 1; 0; 3; 0; -1; 0; -2]; [-7; -1; -5; 0; -8; 0; -6; 0; -3]; [-8; 0; 1; 0; -4; 0; -7; 0; -1; 0; 1]; [-7; -1; 3; 0; 4; 0; 3; 0; 2]; [-6; -2; 3; 0; 5; 0; 2]; [-5; -3; 1; 0; 1]],reversible
8_15,(-a^(-10)-4*a^(-8)-3*a^(-6)+ a^(-4))*z^(0)+ (2*a^(-11)+ 8*a^(-9)+ 6*a^(-7))*z^(1)+ (-a^(-12)+ 8*a^(-8)+ 5*a^(-6)-2*a^(-4))*z^(2)+ (-5*a^(-11)-14*a^(-9)-11*a^(-7)-2*a^(-5))*z^(3)+ (a^(-12)-3*a^(-10)-10*a^(-8)-5*a^(-6)+ a^(-4))*z^(4)+ (3*a^(-11)+ 6*a^(-9)+ 5*a^(-7)+ 2*a^(-5))*z^(5)+ (3*a^(-10)+ 6*a^(-8)+ 3*a^(-6))*z^(6)+ (a^(-9)+ a^(-7))*z^(7),[0; 7; [-10; -4; -1; 0; -4; 0; -3; 0; 1]; [-11; -7; 2; 0; 8; 0; 6]; [-12; -4; -1; 0; 0; 0; 8; 0; 5; 0; -2]; [-11; -5; -5; 0; -14; 0; -11; 0; -2]; [-12; -4; 1; 0; -3; 0; -10; 0; -5; 0; 1]; [-11; -5; 3; 0; 6; 0; 5; 0; 2]; [-10; -6; 3; 0; 6; 0; 3]; [-9; -7; 1; 0; 1]],reversible
8_16,(-2*a^2-a^4)*z^(0)+ (a^(-1)+ 3*a+ 4*a^3+ 2*a^5)*z^(1)+ (5+ 10*a^2+ 4*a^4-a^6)*z^(2)+ (-2*a^(-1)-6*a-10*a^3-5*a^5+ a^7)*z^(3)+ (-8-18*a^2-7*a^4+ 3*a^6)*z^(4)+ (a^(-1)-a+ 3*a^3+ 5*a^5)*z^(5)+ (3+ 8*a^2+ 5*a^4)*z^(6)+ (2*a+ 2*a^3)*z^(7),[0; 7; [2; 4; -2; 0; -1]; [-1; 5; 1; 0; 3; 0; 4; 0; 2]; [0; 6; 5; 0; 10; 0; 4; 0; -1]; [-1; 7; -2; 0; -6; 0; -10; 0; -5; 0; 1]; [0; 6; -8; 0; -18; 0; -7; 0; 3]; [-1; 5; 1; 0; -1; 0; 3; 0; 5]; [0; 4; 3; 0; 8; 0; 5]; [1; 3; 2; 0; 2]],reversible
